name;kuerzel;stadt;farbe1;farbe2;stadion;kapazitaet;ruf
Hafenkrone FC;HKF;Hafenstadt;#0f766e;#ffffff;Kronenplatz;18000;46
Alte Werft SV;AWS;Werftheim;#78350f;#fde68a;Werftarena;16000;44
Nordwind Brake;NWB;Brake;#1d4ed8;#ffffff;Windpark;15000;42
Schwarzmoor FC;SMF;Schwarzmoor;#171717;#a3a3a3;Moorkessel;14000;40
Fischbach United;FBU;Fischbach;#0891b2;#ffffff;Bachstadion;13000;38
Tannenau SC;TAS;Tannenau;#166534;#ffffff;Tannenring;12500;36
Kupferhagen 04;KH04;Kupferhagen;#b45309;#111111;Kupferarena;12000;35
SV Regenstein;SVR;Regenstein;#334155;#cbd5e1;Regenschale;11500;34
Bruchtal FC;BTF;Bruchtal;#7e22ce;#ffffff;Talkessel;11000;33
Weissklippe SV;WKS;Weissklippe;#e2e8f0;#0f172a;Klippenrund;10500;32
Ostfeld United;OFU;Ostfeld;#ca8a04;#111111;Feldarena;10000;31
Nebelhorn FC;NHF;Nebelhorn;#0c4a6e;#ffffff;Hornstadion;9500;30
Graubach SV;GBS;Graubach;#57534e;#e7e5e4;Bachring;9000;29
Sturmfels 11;SF11;Sturmfels;#991b1b;#ffffff;Felsarena;8500;28
Lichtenmoor SC;LMS;Lichtenmoor;#15803d;#fef9c3;Lichtring;8000;27
Ankerbucht FC;ABF;Ankerbucht;#1e40af;#fbbf24;Buchtplatz;7500;26
Silbersee SV;SSS;Silbersee;#64748b;#f1f5f9;Seering;7000;25
Torfstedt 09;TS09;Torfstedt;#3f3f46;#d4d4d8;Torfarena;6500;24
Nordkap United;NKU;Nordkap;#075985;#e0f2fe;Kapstadion;6000;23
Eiswiese FC;EWF;Eiswiese;#0e7490;#ecfeff;Eisring;5500;22
